,Strassenklasse,Unfalldatum,Alter,Unfallklasse,Unfallschwere,Lichtverhältnisse,Verletzte Personen,Anzahl Fahrzeuge,Bodenbeschaffenheit,Geschlecht,Zeit (24h),Fahrzeugtyp,Wetterlage
7872,Bundesstrasse,24. Nov.,56,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,2230,Auto,Regen (starker Wind)
7873,nicht klassifiziert,16. Feb.,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,männlich,1040,Auto,Gut
7874,nicht klassifiziert,17-Mar-12,19,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,905,Auto,Gut
7875,nicht klassifiziert,8. Nov.,29,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1720,Fahrrad,Gut
7876,Autobahn,20-Mar-10,18,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,weiblich,1125,Auto,Regen
7877,Landesstrasse,10. Sep.,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1520,Auto,Gut
7878,nicht klassifiziert,30. Jun.,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1230,Auto,Gut
7879,nicht klassifiziert,23. Apr.,49,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1250,Auto,Gut
7880,nicht klassifiziert,3. Jul.,16,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,2,trocken,weiblich,10,Auto,Gut
7881,nicht klassifiziert,24. Aug.,59,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1400,Bus,Gut
7882,Bundesstrasse,30. Jul.,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,650,Auto,Gut
7883,nicht klassifiziert,29-Oct-09,24,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,1345,Auto,Gut
7884,nicht klassifiziert,21-Dec-10,24,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,nass / feucht,weiblich,1255,Taxi,Gut
7885,nicht klassifiziert,27. Jan.,39,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,männlich,1350,Auto,Gut
7886,Bundesstrasse,29-Dec-10,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1130,Auto,Gut
7887,nicht klassifiziert,23. Feb.,25,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,2303,Taxi,Gut
7888,Bundesstrasse,20-Mar-12,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,6,3,nass / feucht,männlich,800,Transporter,Gut
7889,Bundesstrasse,2. Apr.,29,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,1,trocken,weiblich,310,Auto,Gut
7890,Bundesstrasse,19. Nov.,32,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,3,nass / feucht,männlich,1800,Auto,Nebel
7891,nicht klassifiziert,23. Okt.,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,830,Fahrrad,Gut
7892,Bundesstrasse,20. Nov.,35,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,weiblich,1700,Auto,Gut
7893,nicht klassifiziert,27. Apr.,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2305,Taxi,Gut
7894,Autobahn,31. Jan.,40,Passagier,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,weiblich,344,Auto,Gut
7895,Bundesstrasse,5. Sep.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,3,trocken,weiblich,1725,Auto,Gut
7896,Bundesstrasse,27. Nov.,40,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,921,Auto,Regen
7897,Autobahn,23-May-11,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,männlich,820,Auto,Gut
7898,nicht klassifiziert,20. Sep.,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,703,Auto,Gut
7899,nicht klassifiziert,9. Aug.,50,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,2234,Taxi,Gut
7900,nicht klassifiziert,13-Oct-10,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1800,Fahrrad,Gut
7901,nicht klassifiziert,07-May-11,49,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1745,Auto,Gut
7902,Autobahn,25. Jan.,34,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,853,Auto,Gut
7903,Bundesstrasse,14-May-12,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1540,Fahrrad,Gut
7904,Bundesstrasse,3. Nov.,27,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,weiblich,1710,Auto,Gut
7905,nicht klassifiziert,22. Nov.,7,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1440,Bus,Gut
7906,nicht klassifiziert,28. Apr.,52,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1337,Auto,Gut
7907,nicht klassifiziert,01-Dec-09,14,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,männlich,1912,Auto,Regen
7908,nicht klassifiziert,23-Mar-12,68,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1520,Auto,Gut
7909,nicht klassifiziert,22. Mai.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,4,2,trocken,männlich,1850,Auto,Gut
7910,Bundesstrasse,30. Sep.,58,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,4,trocken,weiblich,933,Auto,Gut
7911,Bundesstrasse,25-Mar-11,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,trocken,männlich,1925,Mottorrad (500cc),Gut
7912,nicht klassifiziert,22. Aug.,16,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1400,Mottorrad (50cc),Gut
7913,Bundesstrasse,16-Mar-12,22,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,958,Auto,Gut
7914,nicht klassifiziert,12. Jun.,47,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1128,Bus,Gut
7915,Bundesstrasse,7. Feb.,53,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1203,Auto,Gut
7916,nicht klassifiziert,30. Sep.,85,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1430,Bus,Gut
7917,Bundesstrasse,3. Okt.,46,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1150,Auto,Gut
7918,nicht klassifiziert,19-May-11,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1742,Auto,Gut
7919,nicht klassifiziert,25-Mar-11,66,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1100,Bus,Gut
7920,nicht klassifiziert,26. Jun.,62,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1206,Auto,Gut
7921,Bundesstrasse,12. Nov.,51,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1820,Taxi,Gut
7922,Autobahn,23. Apr.,33,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,815,Auto,Unbekannt
7923,Bundesstrasse,6. Apr.,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1319,Auto,Gut
7924,nicht klassifiziert,18. Feb.,31,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,weiblich,1,Auto,Gut
7925,nicht klassifiziert,23. Jun.,78,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1253,Bus,Gut
7926,Bundesstrasse,16. Jul.,62,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1350,Bus,Gut
7927,nicht klassifiziert,25. Mai.,23,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,610,Auto,Regen
7928,Bundesstrasse,23. Apr.,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,weiblich,815,Bus,Regen
7929,nicht klassifiziert,3. Jan.,30,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,2105,Auto,Gut
7930,nicht klassifiziert,25-Mar-12,29,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1500,Auto,Gut
7931,nicht klassifiziert,27. Jul.,87,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,trocken,weiblich,1600,Auto,Gut
7932,Bundesstrasse,05-Oct-12,42,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,1,nass / feucht,weiblich,730,Auto,Gut
7933,Bundesstrasse,16. Sep.,31,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,trocken,weiblich,1435,Auto,Gut
7934,Bundesstrasse,29. Sep.,26,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,715,Mottorrad (500cc),Gut
7935,nicht klassifiziert,23-Dec-10,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,1430,Auto,Gut
7936,Bundesstrasse,23. Jun.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1045,Auto,Gut
7937,nicht klassifiziert,10-Oct-11,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,930,Auto,Regen
7938,nicht klassifiziert,22. Jul.,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1325,Auto,Gut
7939,nicht klassifiziert,27. Jun.,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1214,Traktor,Gut
7940,nicht klassifiziert,13. Apr.,6,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1655,Auto,Gut
7941,nicht klassifiziert,18. Jun.,38,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,1,2,trocken,männlich,201,Auto,Gut
7942,Bundesstrasse,24-Oct-09,48,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1608,Auto,Gut
7943,nicht klassifiziert,21. Jul.,57,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1340,Bus,Gut
7944,nicht klassifiziert,1. Jul.,60,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1038,Auto,Gut
7945,nicht klassifiziert,18-Oct-10,4,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,840,Auto,Gut
7946,Autobahn,25-Dec-09,54,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,8,4,trocken,männlich,1320,Auto,Gut
7947,nicht klassifiziert,25-Oct-12,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,2053,Auto,Gut
7948,Bundesstrasse,09-May-10,20,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,830,Fahrrad,Gut
7949,Bundesstrasse,3. Feb.,72,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1837,Bus,Gut
7950,nicht klassifiziert,15-May-09,31,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,nass / feucht,männlich,715,Auto,Regen
7951,Kraftfahrzeugstrasse,22. Okt.,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,männlich,1730,Mottorrad (50cc),Gut
7952,Bundesstrasse,25. Feb.,21,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,nass / feucht,weiblich,1832,Mottorrad (50cc),Andere
7953,Autobahn,9. Jan.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,820,Auto,Gut
7954,Bundesstrasse,19. Jul.,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,845,Auto,Gut
7955,Bundesstrasse,1. Mai.,66,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,2,2,trocken,männlich,1820,Mottorrad (50cc),Gut
7956,Bundesstrasse,26. Nov.,22,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1200,Auto,Gut
7957,nicht klassifiziert,15. Nov.,20,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,trocken,männlich,1833,Auto,Gut
7958,Bundesstrasse,10. Aug.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,1020,Auto,Gut
7959,Bundesstrasse,15-Oct-10,4,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,nass / feucht,männlich,1635,Auto,Regen
7960,nicht klassifiziert,10. Nov.,41,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1530,Auto,Gut
7961,Landesstrasse,21. Jul.,19,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,2,trocken,männlich,2000,Auto,Gut
7962,nicht klassifiziert,28-Oct-09,49,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,2,nass / feucht,weiblich,650,Auto,Gut
7963,nicht klassifiziert,8. Dez.,21,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,männlich,425,Auto,Gut
7964,Bundesstrasse,19. Apr.,44,Fahrer,2,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1805,Mottorrad (500cc),Gut
7965,nicht klassifiziert,17-May-11,13,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1800,Fahrrad,Gut
7966,nicht klassifiziert,22. Feb.,86,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1245,Bus,Gut
7967,Bundesstrasse,23. Sep.,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,nass / feucht,männlich,2025,Auto,Regen
7968,nicht klassifiziert,8. Nov.,52,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,männlich,1534,Mottorrad (50cc),Regen
7969,Bundesstrasse,30. Jul.,85,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1445,Bus,Gut
7970,Bundesstrasse,23-Oct-12,18,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,1,nass / feucht,männlich,1238,Auto,Gut
7971,Bundesstrasse,26. Feb.,76,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1725,Bus,Gut
7972,Bundesstrasse,14. Apr.,17,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,trocken,männlich,2120,Auto,Gut
7973,Bundesstrasse,11. Nov.,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,3,trocken,männlich,1600,Auto,Gut
7974,Bundesstrasse,27-Oct-10,38,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1020,Auto,Gut
7975,Bundesstrasse,5. Feb.,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,6,2,nass / feucht,weiblich,1952,Auto,Regen
7976,nicht klassifiziert,25. Aug.,70,Passagier,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,weiblich,1730,Bus,Gut
7977,nicht klassifiziert,25-May-12,29,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,1,trocken,weiblich,2348,Bus,Gut
7978,Kraftfahrzeugstrasse,3. Nov.,38,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,5,9,nass / feucht,weiblich,1650,Auto,Regen
7979,Kraftfahrzeugstrasse,14-Dec-12,46,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,3,9,Frost / Eis,männlich,500,Auto,Andere
7980,nicht klassifiziert,3. Nov.,15,Fussgänger,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,1,trocken,weiblich,1732,Auto,Gut
7981,Landesstrasse,13. Jan.,11,Fussgänger,2,Dunkelheit: Strassenbeleuchtung vorhanden und nicht beleuchtet,1,1,nass / feucht,weiblich,808,Auto,Gut
7982,Bundesstrasse,7. Apr.,23,Fahrer,1,Dunkelheit: keine Strassenbeleuchtung,1,1,nass / feucht,weiblich,45,Auto,Gut
7983,Bundesstrasse,24. Jul.,17,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1710,Auto,Gut
7984,Bundesstrasse,4. Apr.,26,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1815,Auto,Gut
7985,nicht klassifiziert,02-Mar-11,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1043,Auto,Gut
7986,Autobahn,22. Feb.,42,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,nass / feucht,weiblich,700,Auto,Gut
7987,nicht klassifiziert,29. Jul.,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1830,Auto,Regen
7988,nicht klassifiziert,03-Dec-12,25,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,männlich,800,Auto,Gut
7989,Bundesstrasse,26. Apr.,28,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1344,Auto,Gut
7990,nicht klassifiziert,17. Apr.,64,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1720,Auto,Gut
7991,nicht klassifiziert,7. Mrz.,12,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1500,Mottorrad,Gut
7992,nicht klassifiziert,29. Sep.,17,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,916,Mottorrad,Gut
7993,nicht klassifiziert,13. Mai.,52,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,4,trocken,weiblich,2015,Auto,Gut
7994,nicht klassifiziert,19. Nov.,79,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,3,2,trocken,weiblich,1145,Bus,Gut
7995,nicht klassifiziert,22. Sep.,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1726,Auto,Gut
7996,nicht klassifiziert,2. Apr.,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1833,Auto,Gut
7997,nicht klassifiziert,7. Jun.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1420,Fahrrad,Gut
7998,Landesstrasse,14. Aug.,15,Fussgänger,2,Dunkelheit: Strassenbeleuchtung unbekannt,1,1,trocken,männlich,2025,Auto,Gut
7999,Autobahn,9. Sep.,17,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1504,Auto,Gut
8000,nicht klassifiziert,2. Jun.,20,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1154,Auto,Gut
8001,nicht klassifiziert,6. Jun.,13,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,830,Auto,Gut
8002,Landesstrasse,10. Nov.,66,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1157,Auto,Gut
8003,nicht klassifiziert,20. Jul.,14,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,1540,Mottorrad,Gut
8004,nicht klassifiziert,11. Sep.,34,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1730,Andere,Gut
8005,nicht klassifiziert,21. Jul.,88,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,nass / feucht,weiblich,1143,Bus,Regen
8006,Bundesstrasse,17. Mrz.,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1750,Fahrrad,Gut
8007,nicht klassifiziert,21. Jan.,29,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,Schnee,männlich,1539,Auto,Gut
8008,nicht klassifiziert,11. Aug.,78,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1702,Fahrrad,Gut
8009,Bundesstrasse,20. Aug.,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,3,trocken,weiblich,1057,Auto,Gut
8010,Bundesstrasse,26-Oct-09,22,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,1,2,nass / feucht,weiblich,1545,Auto,Gut (starker Wind)
8011,nicht klassifiziert,8. Jul.,53,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,männlich,739,Bus,Gut
8012,nicht klassifiziert,29-May-10,37,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,nass / feucht,weiblich,1955,Auto,Regen
8013,nicht klassifiziert,14. Sep.,31,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,2000,Mottorrad (500cc),Gut
8014,Landesstrasse,27. Jun.,77,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,nass / feucht,männlich,1015,Auto,Regen
8015,Landesstrasse,5. Sep.,54,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,715,Auto,Gut
8016,Landesstrasse,23. Jan.,73,Fussgänger,2,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1345,Auto,Gut
8017,Bundesstrasse,1. Jan.,17,Passagier,2,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,männlich,1518,Auto,Gut
8018,Autobahn,20. Aug.,36,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,männlich,1420,LKW bis 7.5t,Gut
8019,nicht klassifiziert,23. Feb.,18,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,120,Auto,Gut
8020,nicht klassifiziert,25-Oct-11,19,Fahrer,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,3,2,nass / feucht,weiblich,1913,Auto,Regen
8021,nicht klassifiziert,23-Dec-10,6,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,3,trocken,männlich,1430,Auto,Gut
8022,nicht klassifiziert,31-Mar-09,13,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1500,Fahrrad,Gut
8023,Bundesstrasse,21. Jun.,16,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,4,1,trocken,männlich,400,Auto,Gut
8024,Autobahn,3. Dez.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1320,Auto,Gut
8025,nicht klassifiziert,19. Sep.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,4,nass / feucht,männlich,1120,Auto,Gut
8026,Bundesstrasse,15-Dec-11,24,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,1,2,trocken,männlich,1735,Auto,Gut
8027,Bundesstrasse,29-May-12,25,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1435,Fahrrad,Gut
8028,nicht klassifiziert,16. Nov.,34,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,trocken,männlich,315,Mottorrad (50cc),Gut
8029,Landesstrasse,20-Dec-12,20,Passagier,1,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,4,1,nass / feucht,männlich,15,Auto,Regen
8030,Bundesstrasse,3. Aug.,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,3,trocken,weiblich,1600,Auto,Gut
8031,nicht klassifiziert,21. Jun.,58,Fahrer,1,Dunkelheit: Strassenbeleuchtung unbekannt,3,2,trocken,männlich,2034,Auto,Gut
8032,nicht klassifiziert,14. Feb.,18,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,3,1,trocken,weiblich,1741,Taxi,Gut
8033,nicht klassifiziert,13. Jul.,45,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,weiblich,1205,Auto,Gut
8034,nicht klassifiziert,20. Okt.,23,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,1234,Fahrrad,Gut
8035,nicht klassifiziert,4. Jun.,8,Fussgänger,1,Tageslicht: Strassenbeleuchtung vorhanden,1,1,trocken,weiblich,1530,Auto,Gut
8036,nicht klassifiziert,30. Jan.,18,Fahrer,2,Dunkelheit: Strassenbeleuchtung vorhanden und beleuchtet,2,2,nass / feucht,männlich,1840,Mottorrad (125cc),Gut
8037,Bundesstrasse,10. Nov.,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1335,Auto,Gut
8038,Autobahn,1. Sep.,32,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,3,7,trocken,weiblich,813,Auto,Gut
8039,Bundesstrasse,22. Nov.,22,Passagier,1,Dunkelheit: keine Strassenbeleuchtung,2,1,nass / feucht,männlich,230,Auto,Regen
8040,nicht klassifiziert,10. Feb.,35,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,trocken,männlich,1430,Auto,Gut
8041,Bundesstrasse,5. Jan.,30,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,4,6,trocken,weiblich,735,Auto,Gut
8042,Bundesstrasse,24-Oct-12,21,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,2,2,nass / feucht,männlich,955,Auto,Regen
8043,nicht klassifiziert,20. Sep.,37,Fahrer,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,männlich,908,Taxi,Gut
8044,Autobahn,8. Jul.,43,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,5,4,nass / feucht,weiblich,1545,Auto,Regen
8045,nicht klassifiziert,22. Apr.,51,Passagier,1,Tageslicht: Strassenbeleuchtung vorhanden,1,2,trocken,weiblich,1430,Auto,Gut
